# External B 3D format
# NodeId  Bx(T)  By(T)  Bz(T)
75  -2.536427497863770 -1.2943363189697270  0.22070316970348360
76  -2.581575870513916  0.1115318238735199  0.37837344408035280
77  -2.385193824768066  0.0508853159844875  0.37227243185043330
78  -2.505360603332520  0.1238458901643753  0.37651190161705020
79  -2.147372722625732 -0.7278558611869812  0.32111769914627080
80  -2.782776117324829 -1.3430494070053100  0.02179794199764729
81  -3.052160263061523 -0.4816006422042847  0.02188827097415924
82  -2.121888637542725 -0.8064734935760498  0.32016107439994810
83  -2.998895883560181 -0.7342984080314636  0.01805812865495682
84  -2.216655492782593 -0.4772590100765228  0.32056489586830140
85  -2.610196113586426 -0.1996420621871948  0.36493876576423650
86  -2.265742063522339 -0.0644927769899368  0.32611951231956480
87  -2.574056863784790 -1.7093423604965210  0.02189567126333714
88  -2.258140802383423  0.2058543860912323  0.32019412517547610
89  -3.009702920913696 -0.2219296395778656  0.05255444720387459
90  -3.015096426010132 -0.6759315133094788  0.02025214768946171
91  -2.390436410903931 -0.6561194062232971  0.37611362338066100
92  -2.900627851486206  0.2901056408882141  0.15705765783786770
93  -2.427068710327148  0.2802326679229736  0.38104590773582460
94  -3.080474138259888  0.2415511310100555  0.02077756449580193
95  -3.089609146118164  0.0444266274571419  0.02102370187640190
96  -2.335427045822144 -1.0048369169235230  0.37402519583702090
97  -2.371220588684082 -0.3674644827842712  0.36362600326538090
98  -2.935479164123535 -0.3216493427753448  0.12373174726963040
99  -2.999071359634399 -0.7437722086906433  0.02178231440484524
100 -2.614466667175293  0.0476628914475441  0.36747702956199650
101 -2.971605539321899 -0.8468673229217529  0.02182207629084587
102 -2.955144882202148  0.2357057482004166  0.11080196499824520
103 -2.258140802383423 -0.2058543860912323  0.32019412517547610
104 -2.364492893218994  0.3003271222114563  0.37102684378623960
105 -2.809100389480591 -1.2870815992355350  0.02180689759552479
106 -3.052133083343506 -0.4817913770675659  0.02147716097533703
107 -2.259846210479736  0.1727901995182037  0.32762518525123600
